empresa;codigo;nome;detalhe;executivo;url
biguacu;44600;Governador Celso Ramos / Florianópolis;Via SC-410-Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44600
biguacu;44700;Governador Celso Ramos / Florianópolis;Via SC-410, BR-101, Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44700
biguacu;54600;Governador Celso Ramos/Biguaçu;Viaduto Janaína;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=54600
biguacu;44201;Heriberto Hulse;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44201
biguacu;900020;Janaina(Mar das Pedras) - Colegio Eloisa;Rodovias Municipais(Atendimento Colegios);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900020
biguacu;75900;Jardim das Acácias;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=75900
biguacu;43400;Jardim Janaína;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43400
biguacu;43401;Jardim Janaína;Via Expressa(BR 282);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43401
biguacu;11300;Jardim Zanellato;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=11300
biguacu;11301;Jardim Zanellato;Via Expressa(BR 282);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=11301
biguacu;10002;José Nitro;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10002
biguacu;900002;Morro Boa Vista / Maria da Gloria;Via Rodovias Municipais (Atendimento Colegios);False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=900002
biguacu;43302;Palmas / Biguaçu;Até Viaduto Janaína;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43302
biguacu;43300;Palmas / Florianópolis;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=43300
biguacu;10901;Prado;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10901
biguacu;44301;Praia João Rosa;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44301
biguacu;910000;Rachadel / Antônio Carlos;Até Vila 12;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=910000
biguacu;67200;Roçado;Via Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=67200
biguacu;64001;Rua Santo Antônio;Via Santo Antônio e Santos Dumont;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=64001
biguacu;10502;Russia - Biguaçu;Via rodovias municipais;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10502
biguacu;10900;São Miguel;Estiva-Via BR 101-Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10900
biguacu;10902;São Miguel - Biguaçu;Atendimento Colegio Conego e rodovias municipais;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=10902
biguacu;69500;São Pedro Via Expressa;Via Expressa;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=69500
biguacu;44303;Saudade;Via BR-101/marginais e Estreito;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=44303
biguacu;90700;Serraria / Forquilhinhas;Via Bela Vista, Kobrasol, e Hospital;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=90700
biguacu;12400;Shopping Center Itaguaçu;Via Estreito_Via Floresta;False;https://www.tcbiguacu.com.br/sistema/sys/AJAX_get_line_hours.php?id_line_bus=12400
